CLASS,CODE,NAME,SPENDING,FREIGHT,UNIT,DEMAND,LUXURY,NECESSITY,PRICE_CN,QUALITY_CN,BRAND_CN,BASE_QUAL,CANINV_YR,INVENT_YR,TECH_IMPT,IMPORT,PARENT1,PARENT1_ID,PARENT2,PARENT2_ID,CLASSID,SALEINDEX,UNITS
APPAREL,JACKET,Leather Jacket,150,10,,0.15,7,3,30,35,35,0,,,,,,0,,0,1,22.5,
APPAREL,JEAN,Jeans,50,10,pair,0.5,2,4,25,25,50,0,,,,,,0,,0,1,25,pairs
APPAREL,SWEATER,Sweater,100,10,,0.5,2,4,30,30,40,0,,,,,,0,,0,1,50,
AUTO,CAR,Car,20000,10,,0.005,8,2,30,35,35,0,,0,,N,,0,,0,2,100,
AUTO,MOTORCYC,Motorcycle,10000,10,,0.002,7,2,30,35,35,0,,,,N,,0,,0,2,20,
BATH_SUP,LOTION,Bath Lotion,4,30,,5,2,8,30,30,40,0,,,,,,0,,0,3,20,
BATH_SUP,SHAMPOO,Shampoo,4,20,,6,1,8,30,30,40,0,,,,,,0,,0,3,24,
BATH_SUP,SOAP,Soap,3,30,,6,1,9,25,25,50,0,,,,,,0,,0,3,18,
BEVERAGE,B_MILK,Bottled Milk,2,70,,10,1,5,35,35,30,0,,,,,,0,,0,4,20,
BEVERAGE,COLA,Cola,1,70,can,40,2,5,30,20,50,0,,,,,,0,,0,4,40,cans
BEVERAGE,G_JUICE,Grape Juice,2,70,,10,2,5,30,30,40,0,,,,,,0,,0,4,20,
BEVERAGE,WINE,Wine,20,30,,1,3,3,20,30,50,0,,,,,,0,,0,4,20,
CHEMGOOD,DETERGEN,Detergent,4,25,,6,1,9,33,33,34,0,,,,,,0,,0,5,24,
CHEMGOOD,TOOTHPAS,Toothpaste,3,20,,6,1,9,25,25,50,0,,,,,,0,,0,5,18,
CHEMGOOD,T_CLEAN,Toilet Cleaner,6,30,,2,2,6,33,33,34,0,,,,,,0,,0,5,12,
COMPUTER,COMPUTER,Desktop Computer,1200,10,,0.07,7,4,35,35,30,0,,,,N,,0,,0,6,84,
COMPUTER,NOTEBOOK,Notebook Computer,1500,7,,0.05,8,2,35,35,30,,1990,10,,,,0,,0,6,75,
COMPUTER,PDA,Palm Computer,800,5,,0.05,8,2,30,40,30,,1990,12,,,NOTEBOOK,17,,0,6,40,
COMPUTER,PRINTER,Printer,400,5,,0.06,8,3,30,40,30,,0,0,,,,0,,0,6,24,
COSMETIC,EYESHADO,Eye Shadow,30,4,,0.8,7,1,20,30,50,0,,,,,,0,,0,7,24,
COSMETIC,H_COLOR,Hair Color,30,5,,0.4,7,1,20,30,50,0,,,,,,0,,0,7,12,
COSMETIC,LIPSTICK,Lipstick,30,2,,0.9,7,1,20,30,50,0,,,,,,0,,0,7,27,
COSMETIC,PERFUME,Perfume,40,5,,0.8,7,1,20,30,50,0,,,,,,0,,0,7,32,
DESSERT,CAKES,Cakes,2,70,,10,2,5,35,35,30,0,,,,,,0,,0,8,20,
DESSERT,ICECREAM,Ice Cream,1,50,,20,2,5,30,35,35,0,,,,,,0,,0,8,20,
DESSERT,YOGURT,Yogurt,1.5,60,,20,2,5,30,35,35,0,,,,,,0,,0,8,30,
DRUGS,COLD,Cold Tablets,10,2,,3,2,5,30,35,35,0,,,,,,0,,0,9,30,
DRUGS,COUGH,Cough Syrup,10,2,,3,2,5,30,35,35,0,,,,,,0,,0,9,30,
DRUGS,HEADACHE,Headache Pills,10,2,,3,2,5,30,35,35,0,,,,,,0,,0,9,30,
ELAL_PRO,AIRCOND,Air Conditioner,400,15,,0.07,4,3,30,40,30,0,,,,,,0,,0,10,28,
ELAL_PRO,HIFI,Hi-fi,300,10,,0.07,5,3,30,40,30,0,,,,,,0,,0,10,21,
ELAL_PRO,MICROWAV,Microwave,200,10,,0.1,4,3,30,40,30,0,,,,,,0,,0,10,20,
