CLASS,OUTPUT,OID,OQTY,INPUT1,IID1,IQTY1,IQUA1,INPUT2,IID2,IQTY2,IQUA2,INPUT3,IID3,IQTY3,IQUA3,PROD_SPEED,MACHINEGFX,TECHPERCENT
APPAREL,JACKET,1,6,LEATHER,60,5,45,TEXTILE,111,1,5,,,,,100,2,50
APPAREL,JEAN,2,2,DYESTUFF,100,1,10,TEXTILE,111,2,40,,,,,100,2,50
APPAREL,SWEATER,3,3,WOOL,62,3,50,DYESTUFF,100,1,10,,,,,100,2,40
AUTO,CAR,4,1,CARBODY,96,1,30,ENGINE,102,1,30,WHEEL,113,4,10,300,2,30
AUTO,MOTORCYC,5,1,ENGINE,102,1,30,STEEL,110,50,10,WHEEL,113,2,10,200,2,50
BATH_SUP,LOTION,6,10,CHEMICAL,86,1,20,COCO_OIL,97,1,15,PLASTIC,107,1,5,100,4,60
BATH_SUP,SHAMPOO,7,15,CHEMICAL,86,3,20,PLASTIC,107,1,5,,,,,100,4,75
BATH_SUP,SOAP,8,8,ACID,95,1,15,COCO_OIL,97,1,20,PAPER,106,1,5,100,4,60
BEVERAGE,B_MILK,9,8,MILK,61,2,65,GLASS,104,1,5,,,,,100,5,30
BEVERAGE,COLA,10,17,SUGAR,82,5,10,ALUMINIU,85,1,10,,,,,100,5,80
BEVERAGE,G_JUICE,11,20,GRAPE,79,10,40,ACID,95,1,10,GLASS,104,1,5,100,5,45
BEVERAGE,WINE,12,6,GRAPE,79,5,50,GLASS,104,1,5,,,,,100,5,45
CHEMGOOD,DETERGEN,13,10,CHEMICAL,86,3,20,ACID,95,1,10,PLASTIC,107,1,5,100,3,65
CHEMGOOD,TOOTHPAS,14,20,CHEMICAL,86,3,25,PLASTIC,107,1,5,,,,,100,3,70
CHEMGOOD,T_CLEAN,15,6,CHEMICAL,86,3,25,PLASTIC,107,1,5,,,,,100,3,70
COMPUTER,COMPUTER,16,1,CPU,99,1,40,ELECOMP,101,1,15,STEEL,110,1,5,200,2,40
COMPUTER,NOTEBOOK,17,2,CPU,99,2,40,ELECOMP,101,1.5,15,PLASTIC,107,1,5,100,2,40
COMPUTER,PDA,18,3,CPU,99,3,40,ELECOMP,101,1,15,PLASTIC,107,1,5,100,2,40
COMPUTER,PRINTER,19,1,ELECOMP,101,1,20,PLASTIC,107,2,5,,,,,100,2,75
COSMETIC,EYESHADO,20,10,CHEMICAL,86,1,25,PLASTIC,107,1,5,,,,,100,3,70
COSMETIC,H_COLOR,21,10,DYESTUFF,100,2,25,PLASTIC,107,1,5,WGERMOIL,112,1,10,100,3,60
COSMETIC,LIPSTICK,22,40,DYESTUFF,100,3,20,PLASTIC,107,1,5,WGERMOIL,112,1,10,100,3,65
COSMETIC,PERFUME,23,8,CHEMICAL,86,1,30,GLASS,104,1,5,,,,,100,3,65
DESSERT,CAKES,24,4,EGG,55,1,20,COCOA,74,1,20,FLOUR,103,3,20,100,4,40
DESSERT,ICECREAM,25,20,MILK,61,2,20,STRAWBEY,71,2,20,SUGAR,82,1,10,100,4,50
DESSERT,YOGURT,26,8,MILK,61,2,20,STRAWBEY,71,1,20,ACID,95,1,10,100,4,50
DRUGS,COLD,27,20,CHEMICAL,86,1,15,PLASTIC,107,1,2,,,,,100,5,83
DRUGS,COUGH,28,20,CHEMICAL,86,2,15,PLASTIC,107,1,2,,,,,100,5,83
DRUGS,HEADACHE,29,20,CHEMICAL,86,2,15,PLASTIC,107,1,2,,,,,100,5,83
ELAL_PRO,AIRCOND,30,1,ELECOMP,101,1,5,STEEL,110,6,5,,,,,100,2,90
ELAL_PRO,HIFI,31,1,ALUMINIU,85,2,5,ELECOMP,101,2,15,STEEL,110,3,5,100,2,75
ELAL_PRO,MICROWAV,32,1,ELECOMP,101,1,15,GLASS,104,1,5,PLASTIC,107,1,5,100,2,75
ELAL_PRO,TV,33,1,ELECOMP,101,3,20,GLASS,104,2,5,PLASTIC,107,1,5,100,2,70
ELIC_PRO,DVD,34,2,ALUMINIU,85,2,5,ELECOMP,101,1,15,,,,,100,2,80
ELIC_PRO,MOBILE,35,5,ELECOMP,101,1,15,PLASTIC,107,1,5,,,,,100,2,80
ELIC_PRO,VCAMERA,36,3,ELECOMP,101,1,20,GLASS,104,1,5,PLASTIC,107,1,5,100,2,70
ELIC_PRO,VCR,37,1,ELECOMP,101,1,15,GLASS,104,1,5,STEEL,110,1,5,100,2,75
FOOD,BREAD,38,10,FLOUR,103,9,40,,,,,,,,,100,4,60
FOOD,CAN_CORN,39,2,CORN,76,1,60,,,,,,,,,100,4,40
FOOD,CAN_SOUP,40,2,MCHICKEN,57,1,60,,,,,,,,,100,4,40
FOOD,CORN_FLK,41,9,CORN,76,2,50,SUGAR,82,1,10,,,,,100,4,40
FOOTWEAR,SANDALS,42,1,RUBBER,81,1,30,,,,,,,,,100,1,70
FOOTWEAR,SHOE,43,4,LEATHER,60,5,45,TEXTILE,111,1,5,,,,,100,1,50
FOOTWEAR,SOCKS,44,20,WOOL,62,1,25,,,,,,,,,100,1,75
FOOTWEAR,S_SHOE,45,2,COTTON,77,1,10,RUBBER,81,1,15,POLYESTE,108,2,20,100,1,55
FURN,BED,46,1,TIMBER,94,80,50,,,,,,,,,100,2,50
FURN,CHAIR,47,2,TIMBER,94,20,40,TEXTILE,111,1,15,,,,,100,2,45
FURN,SOFA,48,1,LEATHER,60,5,30,COTTON,77,5,15,TIMBER,94,30,15,100,2,40
